,v,T
0,0.062119937583117874,6
1,0.04442586080490843,7
2,0.0514629515310351,4
3,0.040981387872798106,7
4,0.063343492411596,5
5,0.04548233553768495,5
6,0.04936111539213395,7
7,0.06341022550927022,7
8,0.036608124993649814,7
9,0.039710791237557705,7
10,0.05787140256446717,6
11,0.038380552568125115,8
12,0.05417266638357816,8
13,0.05136683711601148,6
14,0.06309879067032166,6
15,0.03704495159628327,5
16,0.061122105706972386,6
17,0.03948594942962083,7
18,0.05577943698001926,7
19,0.04897282704987479,7
20,0.04224241242679282,7
21,0.05197716200392528,6
22,0.03946676260486758,8
23,0.03846990535401787,7
24,0.057088396933062294,5
25,0.04371797415950436,8
26,0.05881467424881199,6
27,0.04360349521803545,8
28,0.055687375626095395,4
29,0.04519233879925185,5
30,0.04329225421661605,7
31,0.05560233747587402,5
32,0.03205022328570342,7
33,0.039165751129026746,4
34,0.05426295038332095,7
35,0.06328127507632599,6
36,0.055402031152523214,7
37,0.058084798893082004,6
38,0.05903910561074863,7
39,0.0318678660846624,7
40,0.04575633363883903,6
41,0.059427844031574875,5
42,0.04509406842054162,7
43,0.05217672350565775,5
44,0.05218199497634798,8
45,0.06190894352051595,7
46,0.053042726399250256,6
47,0.05729686975377787,7
48,0.050721007729531406,3
49,0.048078307424919066,7
50,0.04738733935832308,6
51,0.044300571694505436,6
52,0.043541094110157615,7
53,0.05322503891150662,7
54,0.040961722531544856,7
55,0.053468206841393376,6
56,0.050241087420611376,6
57,0.04832870670401328,7
58,0.03775836953216107,6
59,0.047844050911700575,6
60,0.04206888044227075,5
61,0.04990982642090187,7
62,0.05801348686335465,6
63,0.04893262104047031,7
64,0.04002327009622283,6
65,0.053876681962654965,7
66,0.062160492942785694,4
67,0.027204179299437657,6
68,0.04932986833001631,7
69,0.051494123993039854,7
70,0.05234436665464491,7
71,0.07217480147275207,5
72,0.053803664136252455,5
73,0.04895182956118238,7
74,0.03541765148557734,7
75,0.03939710836543325,6
76,0.05310971199528614,5
77,0.03998546780212309,7
78,0.06550630340858597,6
79,0.03865865158009031,6
80,0.04462135575057125,7
81,0.04532861678018922,8
82,0.054572771224465515,6
83,0.03579183220651929,8
84,0.06308296829563045,7
85,0.02801063257312511,7
86,0.05019390510217765,7
87,0.04110627574223563,6
88,0.05725936791286552,6
89,0.04431162874270068,4
90,0.04898507543152947,7
91,0.0663764872114388,5
92,0.04194788274404723,7
93,0.05000427899172131,7
94,0.045171989047572886,6
95,0.03896525124155302,7
96,0.04423271622996439,7
97,0.04206966067972465,6
98,0.0521382933976841,6
99,0.05292580170703107,9
100,0.05945960565490432,7
101,0.048816536651445475,8
102,0.035174596060964375,6
103,0.05915279655396853,7
104,0.04163216410440661,7
105,0.038510013593530304,4
106,0.05625293710817055,8
107,0.06569182327628756,7
108,0.0342796927250517,6
109,0.06334335957168072,7
110,0.06001012474042489,7
111,0.03623627999548253,7
112,0.05521583651265731,6
113,0.052617797548757665,7
114,0.032102635949077675,6
115,0.056780175013140165,6
116,0.03907116782533404,6
117,0.06148997535288915,6
118,0.045902327310509104,7
119,0.037513999146072986,5
120,0.052065800290788014,7
121,0.05340239965865585,6
122,0.04132779383621148,7
123,0.05269021840717637,5
124,0.05902299306263757,7
125,0.0606321761846986,7
126,0.04117298782359929,8
127,0.05452366294680912,6
128,0.04109097249936833,6
129,0.04542577506314931,6
130,0.07281459391426162,7
131,0.052507249532656466,6
132,0.052686957936675854,6
133,0.053690830934304955,7
134,0.05696369247565421,7
135,0.058923013650808896,6
136,0.05040469020550149,6
137,0.03997841031338031,8
138,0.027626119044722713,7
139,0.039248545773232356,8
140,0.039711367395646575,4
141,0.0539168548749843,7
142,0.04638951772890052,7
143,0.05784753615670782,7
144,0.03716706657606466,5
145,0.060995816083406984,8
146,0.04718757407470141,7
147,0.045065100304795665,7
148,0.05120708408501009,7
149,0.06124143542375184,8
150,0.05573175432751193,9
151,0.05351040741776615,7
152,0.03478267942262911,6
153,0.04300247628935154,5
154,0.053997454987997344,7
155,0.07102318039339083,7
156,0.046681839350758925,7
157,0.05848476824996733,6
158,0.0443731892771905,6
